competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
PREM,2025/26,14,Kingston Park Stadium,,2026-04-24,19:45,Newcastle Red Bulls,England,Bristol Bears,England,3,8,19,52
PREM,2025/26,14,Twickenham Stoop,,2026-04-25,15:00,Harlequins,England,Sale Sharks,England,5,8,33,52
PREM,2025/26,14,StoneX Stadium,,2026-04-25,15:05,Saracens,England,Leicester Tigers,England,3,2,19,15
PREM,2025/26,14,Cinch Stadium,,2026-04-25,17:30,Northampton Saints,England,Bath Rugby,England,6,6,41,38
PREM,2025/26,14,Kingsholm,,2026-04-26,15:30,Gloucester Rugby,England,Exeter Chiefs,England,5,5,34,31
PREM,2025/26,15,Kingsholm,,2026-05-08,19:45,Gloucester Rugby,England,Sale Sharks,England,3,2,21,15
PREM,2025/26,15,Mattioli Woods Welford Road,,2026-05-09,15:05,Leicester Tigers,England,Northampton Saints,England,6,3,41,17
PREM,2025/26,15,Ashton Gate,,2026-05-09,17:30,Bristol Bears,England,Saracens,England,4,6,26,41
PREM,2025/26,15,Kingston Park Stadium,,2026-05-10,15:00,Newcastle Red Bulls,England,Harlequins,England,3,12,17,76
PREM,2025/26,15,Sandy Park,,2026-05-10,15:30,Exeter Chiefs,England,Bath Rugby,England,4,2,35,12
PREM,2025/26,16,Cinch Stadium,,2026-05-15,19:45,Northampton Saints,England,Bristol Bears,England,14,5,94,33
PREM,2025/26,16,The Recreation Ground,,2026-05-16,15:00,Bath Rugby,England,Newcastle Red Bulls,England,11,2,69,12
PREM,2025/26,16,Twickenham Stoop,,2026-05-16,16:00,Harlequins,England,Exeter Chiefs,England,6,4,41,24
PREM,2025/26,16,StoneX Stadium,,2026-05-16,18:30,Saracens,England,Gloucester Rugby,England,4,2,30,14
PREM,2025/26,16,CorpAcq Stadium,,2026-05-17,15:00,Sale Sharks,England,Leicester Tigers,England,5,7,33,47
PREM,2025/26,17,Ashton Gate,,2026-05-29,19:45,Bristol Bears,England,Bath Rugby,England,3,3,21,19
PREM,2025/26,17,StoneX Stadium,,2026-05-30,13:00,Saracens,England,Harlequins,England,4,2,26,12
PREM,2025/26,17,Cinch Stadium,,2026-05-30,15:00,Northampton Saints,England,Gloucester Rugby,England,6,5,36,32
PREM,2025/26,17,Kingston Park Stadium,,2026-05-30,19:45,Newcastle Red Bulls,England,Sale Sharks,England,7,6,45,42
PREM,2025/26,17,Mattioli Woods Welford Road,,2026-05-31,15:30,Leicester Tigers,England,Exeter Chiefs,England,3,4,26,35
PREM,2025/26,18,The Recreation Ground,,2026-06-06,15:15,Bath Rugby,England,Leicester Tigers,England,4,3,24,22
PREM,2025/26,18,CorpAcq Stadium,,2026-06-06,15:15,Sale Sharks,England,Bristol Bears,England,6,3,38,17
PREM,2025/26,18,Twickenham Stoop,,2026-06-06,15:15,Harlequins,England,Northampton Saints,England,6,5,38,31
PREM,2025/26,18,Kingsholm,,2026-06-06,15:15,Gloucester Rugby,England,Newcastle Red Bulls,England,8,3,54,21
PREM,2025/26,18,Sandy Park,,2026-06-06,15:15,Exeter Chiefs,England,Saracens,England,4,2,32,12
PREM,2025/26,Semi-Final,Cinch Stadium,,2026-06-12,19:45,Northampton Saints,England,Leicester Tigers,England,7,5,45,31
PREM,2025/26,Semi-Final,The Recreation Ground,,2026-06-13,15:00,Bath Rugby,England,Exeter Chiefs,England,4,4,26,27
PREM,2025/26,Final,Twickenham Stadium,,2026-06-20,15:00,Northampton Saints,England,Exeter Chiefs,England,4,3,26,17
